featureId,featurename,project,category,sub_category,data_type,description,status,source,owner
1965,RiverTemplateMsftEightCardFiveColTwo30dCTR,WPO,,,,,,,
1966,RiverTemplateMsftEightCardFiveColTwo7dCTR,WPO,,,,,,,
1967,RiverTemplateMsftEightCardFiveColMoveInfoNavClicks30dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1968,RiverTemplateMsftEightCardFiveColMoveInfoNavClicks7dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1969,RiverTemplateMsftEightCardFiveColMoveInfoViewCount30dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1970,RiverTemplateMsftEightCardFiveColMoveInfoViewCount7dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1971,RiverTemplateMsftEightCardFiveColMoveInfo30dCTR,WPO,,,,,,,
1972,RiverTemplateMsftEightCardFiveColMoveInfo7dCTR,WPO,,,,,,,
1973,RiverTemplate10cardATFNavClicks30dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1974,RiverTemplate10cardATFNavClicks7dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1975,RiverTemplate10cardATFViewCount30dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1976,RiverTemplate10cardATFViewCount7dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1977,RiverTemplate10cardATF30dCTR,WPO,,,,,,,
1978,RiverTemplate10cardATF7dCTR,WPO,,,,,,,
1979,RiverTemplate10cardDANavClicks30dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1980,RiverTemplate10cardDANavClicks7dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1981,RiverTemplate10cardDAViewCount30dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1982,RiverTemplate10cardDAViewCount7dWStatSum,WPO,wpo_other,__layout_metrics__,double,,active,WPOFeatureLoadAPI.view,
1983,RiverTemplate10cardDA30dCTR,WPO,,,,,,,
1984,RiverTemplate10cardDA7dCTR,WPO,,,,,,,
1985,Esports30dPerClickCfv,WPO,,,,,,,
1986,HealthTip30dPerClickCfv,WPO,,,,,,,
1993,UserLoadTime7dWStatAvg,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
1994,UserLoadTime7dWStatMax,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
1995,UserLoadTime7dWStatMin,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
1996,UserLoadTime30dWStatAvg,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
1997,UserLoadTime30dWStatMax,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
1998,UserLoadTime30dWStatMin,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
1999,IsCSDAU7dSum,WPO,,,,,,,
2000,IsCIDAU7dSum,WPO,,,,,,,
2001,IsCSDAU30dSum,WPO,,,,,,,
2002,IsCIDAU30dSum,WPO,,,,,,,
2003,AutoConfidenceScore,WPO,,,,,,,
2004,AutoConfidenceScore2,WPO,,,,,,,
2008,IpClicktime7dWStatAvg,WPO,,,,,,,
2009,IpClicktime7dWStatMax,WPO,,,,,,,
2010,IpClicktime7dWStatMin,WPO,,,,,,,
2011,IpClicktime7dWStatCount,WPO,,,,,,,
2013,PrayerTimesCardNavClicks30dWStatSum,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2014,PrayerTimesCardNavClicks7dWStatSum,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2015,PrayerTimesCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2016,PrayerTimesCard30dWStatCTR,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2017,PrayerTimesCardViewCount30dWStatSum,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2018,PrayerTimesCardViewCount7dWStatSum,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2019,PrayerTimesCardNonNavClicks7dWStatSum,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2020,PrayerTimesCard7dWStatCTR,WPO,wpo_sdcard,PrayerTimesCard,double,,active,WPOFeatureLoadAPI.view,
2021,RealEstateCardNavClicks7dWStatSum,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2022,RealEstateCardNonNavClicks30dWStatSum,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2023,RealEstateCardNonNavClicks7dWStatSum,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2024,RealEstateCardNavClicks30dWStatSum,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2025,RealEstateCardViewCount7dWStatSum,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2026,RealEstateCard30dWStatCTR,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2027,RealEstateCardViewCount30dWStatSum,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2028,RealEstateCard7dWStatCTR,WPO,wpo_sdcard,RealEstateCard,double,,active,WPOFeatureLoadAPI.view,
2029,LatestMUIDAge,WPO,,,,,,,
